"","lat","lng","name","desc","color","source","precision","merchant_type","merchant_type_color","merchant_type_color2"
"1",40.00709,-105.27206,"Alferd Packer Grill,1669 Euclid Ave,Boulder, CO 80309","1669 Euclid Avenue, Boulder, CO, US",NA,"MapQuest","address","On campus","#E69F00","orange"
"2",40.00479,-105.26506,"The Bakery C4C,2249 Willard Loop Drive,Boulder, CO 80305","Willard Loop Drive, Boulder, CO, US",NA,"MapQuest","street","On campus","#E69F00","orange"
"3",40.006,-105.2658,"Farrand Market,2200 Baker Drive,Boulder, CO 80310","2200 Baker Drive, Boulder, CO, US",NA,"MapQuest","address","On campus","#E69F00","orange"
"4",40.0083,-105.26797,"Foolish Craig s Too,1925 Colorado Avenue ,Boulder, CO 80302","1925 Colorado Avenue, Boulder, CO, US",NA,"MapQuest","address","On campus","#E69F00","orange"
"5",39.99807,-105.25284,"The Grotto,500 30th Street,Boulder, CO 80303","500 30th Street, Boulder, CO, US",NA,"MapQuest","address","On campus","#E69F00","orange"
"6",40.00709,-105.27206,"Jamba Juice (UMC),1669 Euclid Ave,Boulder, CO 80309","1669 Euclid Avenue, Boulder, CO, US",NA,"MapQuest","address","On campus","#E69F00","orange"
"7",40.0033,-105.26295,"Kittredge Market,2480 Kittredge Loop Drive,Boulder, CO 80309","2480 Kittredge Loop Drive, Boulder, CO, US",NA,"MapQuest","address","On campus","#E69F00","orange"
"8",40.00819,-105.26144,"Sewall Market,1720 University Ave,Boulder, CO 80310","Colorado Avenue, Boulder, CO, US",NA,"MapQuest","street","On campus","#E69F00","orange"
"9",40.00709,-105.27206,"Starbucks (UMC),1669 Euclid Ave,Boulder, CO 80309","1669 Euclid Avenue, Boulder, CO, US",NA,"MapQuest","address","On campus","#E69F00","orange"
"10",40.00709,-105.27206,"Subway (UMC),1669 Euclid Ave,Boulder, CO 80309","1669 Euclid Avenue, Boulder, CO, US",NA,"MapQuest","address","On campus","#E69F00","orange"
